codigo_ibge;nome;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario;
;3555406;Ubatuba;-234.332;-450.834;0;35;7209;12;America/Sao_Paulo
;3170107;Uberaba;-197.472;-479.381;0;31;5401;34;America/Sao_Paulo
;3170206;Uberlândia;-189.141;-482.749;0;31;5403;34;America/Sao_Paulo
;3555505;Ubirajara;-225.272;-496.613;0;35;7211;14;America/Sao_Paulo
;4128005;Ubiratã;-245.393;-529.865;0;41;7933;44;America/Sao_Paulo
;4322343;Ubiretama;-280.404;-54.686;0;43;1022;55;America/Sao_Paulo
;3555604;Uchoa;-209.511;-491.713;0;35;7213;17;America/Sao_Paulo
;2932408;Uibaí;-113.394;-421.354;0;29;3947;74;America/Sao_Paulo
;1400704;Uiramutã;460.314;-601.815;0;14;38;95;America/Porto_Velho
;5221577;Uirapuru;-142.835;-499.201;0;52;59;62;America/Sao_Paulo
;2516904;Uiraúna;-651.504;-384.128;0;25;2239;83;America/Sao_Paulo
;1508126;Ulianópolis;-375.007;-474.892;0;15;623;91;America/Sao_Paulo
;2313708;Umari;-663.893;-387.008;0;23;1575;88;America/Sao_Paulo
;2414506;Umarizal;-598.238;-37.818;0;24;1887;84;America/Sao_Paulo
;2807600;Umbaúba;-113.809;-376.623;0;28;3251;79;America/Sao_Paulo
;2932457;Umburanas;-107.339;-413.234;0;29;3047;74;America/Sao_Paulo
;3170305;Umburatiba;-172.548;-405.779;0;31;5405;33;America/Sao_Paulo
;2517001;Umbuzeiro;-769.199;-356.582;0;25;2241;83;America/Sao_Paulo
;2313757;Umirim;-367.654;-393.465;0;23;9855;85;America/Sao_Paulo
;4128104;Umuarama;-237.656;-533.201;0;41;7935;44;America/Sao_Paulo
;2932507;Una;-152.791;-390.765;0;29;3949;73;America/Sao_Paulo
;3170404;Unaí;-163.592;-469.022;0;31;5407;38;America/Sao_Paulo
;2211100;União;-458.571;-428.583;0;22;1221;86;America/Sao_Paulo
;4322350;União da Serra;-287.833;-520.238;0;43;5999;54;America/Sao_Paulo
;4128203;União da Vitória;-262.273;-510.873;0;41;7937;42;America/Sao_Paulo
;3170438;União de Minas;-195.299;-50.338;0;31;742;34;America/Sao_Paulo
;4218855;União do Oeste;-26.762;-528.541;0;42;9973;49;America/Sao_Paulo
;5108303;União do Sul;-115.308;-543.616;0;51;1048;66;America/Porto_Velho
;2709301;União dos Palmares;-915.921;-360.223;0;27;2885;82;America/Sao_Paulo
;3555703;União Paulista;-208.862;-499.025;0;35;7215;17;America/Sao_Paulo
;4128302;Uniflor;-230.868;-521.573;0;41;7939;44;America/Sao_Paulo
;4322376;Unistalda;-29.04;-551.517;0;43;1024;55;America/Sao_Paulo
;2414605;Upanema;-563.761;-372.635;0;24;1889;84;America/Sao_Paulo
;4128401;Uraí;-23.2;-507.939;0;41;7941;43;America/Sao_Paulo
;2932606;Urandi;-147.678;-426.498;0;29;3951;77;America/Sao_Paulo
;3555802;Urânia;-202.455;-506.455;0;35;7217;17;America/Sao_Paulo
;2112605;Urbano Santos;-320.642;-433.878;0;21;945;98;America/Sao_Paulo
;3555901;Uru;-217.866;-492.848;0;35;7219;14;America/Sao_Paulo
;5221601;Uruaçu;-145.238;-491.396;0;52;9633;62;America/Sao_Paulo
;5221700;Uruana;-154.993;-496.861;0;52;9635;62;America/Sao_Paulo
;3170479;Uruana de Minas;-160.634;-462.443;0;31;744;38;America/Sao_Paulo
;1508159;Uruará;-371.519;-537.396;0;15;399;93;America/Sao_Paulo
;4218905;Urubici;-280.157;-495.925;0;42;8371;49;America/Sao_Paulo
;2313807;Uruburetama;-362.316;-395.107;0;23;1577;85;America/Sao_Paulo
;3170503;Urucânia;-203.521;-42.737;0;31;5409;31;America/Sao_Paulo
;1304302;Urucará;-252.936;-577.538;0;13;285;92;America/Porto_Velho
;2932705;Uruçuca;-145.963;-392.851;0;29;3953;73;America/Sao_Paulo
;2211209;Uruçuí;-723.944;-445.577;0;22;1223;89;America/Sao_Paulo
;3170529;Urucuia;-161.244;-457.352;0;31;2699;38;America/Sao_Paulo
;1304401;Urucurituba;-312.841;-581.496;0;13;287;92;America/Porto_Velho
;4322400;Uruguaiana;-297.614;-570.853;0;43;8951;55;America/Sao_Paulo
;2313906;Uruoca;-330.819;-405.628;0;23;1579;88;America/Sao_Paulo
;1101708;Urupá;-111.261;-623.639;0;11;977;69;America/Porto_Velho
;4218954;Urupema;-279.557;-498.729;0;42;9975;49;America/Sao_Paulo
;3556008;Urupês;-212.032;-492.931;0;35;7221;17;America/Sao_Paulo
;4219002;Urussanga;-28.518;-493.238;0;42;8373;48;America/Sao_Paulo
;5221809;Urutaí;-174.651;-482.015;0;52;9637;64;America/Sao_Paulo
;2932804;Utinga;-120.783;-410.954;0;29;3955;75;America/Sao_Paulo
;4322509;Vacaria;-285.079;-509.418;0;43;8953;54;America/Sao_Paulo
;5108352;Vale de São Domingos;-15.286;-590.683;0;51;1102;65;America/Porto_Velho
;1101757;Vale do Anari;-986.215;-621.876;0;11;24;69;America/Porto_Velho
;1101807;Vale do Paraíso;-104.465;-621.352;0;11;979;69;America/Porto_Velho
;4322533;Vale do Sol;-295.967;-526.839;0;43;5769;51;America/Sao_Paulo
;4322541;Vale Real;-293.919;-512.559;0;43;6049;51;America/Sao_Paulo
;4322525;Vale Verde;-297.864;-521.857;0;43;1026;51;America/Sao_Paulo
;2932903;Valença;-133.669;-39.073;0;29;3957;75;America/Sao_Paulo
;3306107;Valença;-222.445;-437.129;0;33;5921;24;America/Sao_Paulo
;2211308;Valença do Piauí;-640.301;-417.375;0;22;1225;89;America/Sao_Paulo
;2933000;Valente;-114.062;-39.457;0;29;3959;75;America/Sao_Paulo
;3556107;Valentim Gentil;-204.217;-500.889;0;35;7223;17;America/Sao_Paulo
;3556206;Valinhos;-229.698;-469.974;0;35;7225;19;America/Sao_Paulo
;3556305;Valparaíso;-212.229;-508.699;0;35;7227;18;America/Sao_Paulo
;5221858;Valparaíso de Goiás;-160.651;-479.757;0;52;1066;61;America/Sao_Paulo
;4322558;Vanini;-284.758;-518.447;0;43;7319;54;America/Sao_Paulo
;4219101;Vargeão;-268.621;-521.549;0;42;8375;49;America/Sao_Paulo
;4219150;Vargem;-274.867;-509.724;0;42;5563;49;America/Sao_Paulo
;3556354;Vargem;-22.887;-464.124;0;35;2957;11;America/Sao_Paulo
;3170578;Vargem Alegre;-195.988;-422.949;0;31;746;33;America/Sao_Paulo
;3205036;Vargem Alta;-20.669;-410.179;0;32;5727;28;America/Sao_Paulo
;3170602;Vargem Bonita;-203.333;-463.688;0;31;5411;37;America/Sao_Paulo
;4219176;Vargem Bonita;-270.055;-517.402;0;42;5565;49;America/Sao_Paulo
;2112704;Vargem Grande;-353.639;-43.917;0;21;947;98;America/Sao_Paulo
;3170651;Vargem Grande do Rio Pardo;-153.987;-423.085;0;31;748;38;America/Sao_Paulo
;3556404;Vargem Grande do Sul;-218.322;-468.913;0;35;7231;19;America/Sao_Paulo
;3556453;Vargem Grande Paulista;-235.993;-47.022;0;35;7273;11;America/Sao_Paulo
;3170701;Varginha;-215.556;-454.364;0;31;5413;35;America/Sao_Paulo
;5221908;Varjão;-170.471;-496.312;0;52;9639;62;America/Sao_Paulo
;3170750;Varjão de Minas;-183.741;-460.313;0;31;750;38;America/Sao_Paulo
;2313955;Varjota;-419.387;-404.741;0;23;9857;88;America/Sao_Paulo
;3306156;Varre-Sai;-209.276;-418.701;0;33;2917;22;America/Sao_Paulo
;2414704;Várzea;-634.641;-353.732;0;24;1891;84;America/Sao_Paulo
;2517100;Várzea;-676.189;-369.913;0;25;2243;83;America/Sao_Paulo
;2314003;Várzea Alegre;-678.264;-392.942;0;23;1581;88;America/Sao_Paulo
;2211357;Várzea Branca;-9.238;-429.692;0;22;2267;89;America/Sao_Paulo
;3170800;Várzea da Palma;-175.944;-447.226;0;31;5415;38;America/Sao_Paulo
;2933059;Várzea da Roça;-116.005;-401.328;0;29;3997;74;America/Sao_Paulo
;2933109;Várzea do Poço;-115.273;-403.149;0;29;3961;74;America/Sao_Paulo
;2211407;Várzea Grande;-654.899;-42.248;0;22;1227;89;America/Sao_Paulo
;5108402;Várzea Grande;-156.458;-561.322;0;51;9167;65;America/Porto_Velho
;2933158;Várzea Nova;-112.557;-409.432;0;29;3995;74;America/Sao_Paulo
;3556503;Várzea Paulista;-232.136;-468.234;0;35;7233;11;America/Sao_Paulo
;2933174;Varzedo;-129.672;-393.919;0;29;3049;75;America/Sao_Paulo
;3170909;Varzelândia;-156.992;-440.278;0;31;5417;38;America/Sao_Paulo
;3306206;Vassouras;-224.059;-436.686;0;33;5923;24;America/Sao_Paulo
;3171006;Vazante;-179.827;-469.088;0;31;5419;34;America/Sao_Paulo
;4322608;Venâncio Aires;-296.143;-521.932;0;43;8955;51;America/Sao_Paulo
;3205069;Venda Nova do Imigrante;-20.327;-411.355;0;32;5729;28;America/Sao_Paulo
;2414753;Venha-Ver;-632.016;-384.896;0;24;438;84;America/Sao_Paulo
;4128534;Ventania;-242.458;-502.376;0;41;5497;42;America/Sao_Paulo
;2616001;Venturosa;-857.885;-368.742;0;26;2619;87;America/Sao_Paulo
;5108501;Vera;-123.017;-553.045;0;51;9905;66;America/Porto_Velho
;2414803;Vera Cruz;-604.399;-35.428;0;24;1895;84;America/Sao_Paulo
;2933208;Vera Cruz;-129.568;-386.153;0;29;3963;71;America/Sao_Paulo
;4322707;Vera Cruz;-297.184;-525.152;0;43;8957;51;America/Sao_Paulo
;3556602;Vera Cruz;-222.183;-498.207;0;35;7235;14;America/Sao_Paulo
;4128559;Vera Cruz do Oeste;-250.577;-538.771;0;41;7989;45;America/Sao_Paulo
;2211506;Vera Mendes;-759.748;-414.673;0;22;406;89;America/Sao_Paulo
;4322806;Veranópolis;-289.312;-515.516;0;43;8959;54;America/Sao_Paulo
;2616100;Verdejante;-792.235;-389.701;0;26;2621;87;America/Sao_Paulo
;3171030;Verdelândia;-155.845;-436.121;0;31;752;38;America/Sao_Paulo
;4128609;Verê;-258.772;-529.051;0;41;7945;46;America/Sao_Paulo
;2933257;Vereda;-172.183;-400.974;0;29;3051;73;America/Sao_Paulo
;3171071;Veredinha;-173.974;-427.307;0;31;754;38;America/Sao_Paulo
;3171105;Veríssimo;-196.657;-483.118;0;31;5423;34;America/Sao_Paulo
;3171154;Vermelho Novo;-200.406;-422.688;0;31;756;33;America/Sao_Paulo
;2616183;Vertente do Lério;-777.084;-358.491;0;26;2291;81;America/Sao_Paulo
;2616209;Vertentes;-790.158;-359.681;0;26;2623;81;America/Sao_Paulo
;3171204;Vespasiano;-196.883;-439.239;0;31;5425;31;America/Sao_Paulo
;4322855;Vespasiano Corrêa;-290.655;-518.625;0;43;1028;51;America/Sao_Paulo
;4322905;Viadutos;-275.716;-520.211;0;43;8961;54;America/Sao_Paulo
;4323002;Viamão;-300.819;-510.194;0;43;8963;51;America/Sao_Paulo
;3205101;Viana;-203.825;-404.933;0;32;5701;27;America/Sao_Paulo
;2112803;Viana;-320.451;-449.912;0;21;949;98;America/Sao_Paulo
;5222005;Vianópolis;-167.405;-485.159;0;52;9641;62;America/Sao_Paulo
;2616308;Vicência;-765.655;-353.139;0;26;2625;81;America/Sao_Paulo
;4323101;Vicente Dutra;-271.607;-534.022;0;43;8965;55;America/Sao_Paulo
;5008404;Vicentina;-224.098;-544.415;0;50;9187;67;America/Porto_Velho
;5222054;Vicentinópolis;-177.322;-498.047;0;52;9657;64;America/Sao_Paulo
;2414902;Viçosa;-598.253;-379.462;0;24;1897;84;America/Sao_Paulo
;2709400;Viçosa;-936.763;-362.431;0;27;2887;82;America/Sao_Paulo
;3171303;Viçosa;-207.559;-428.742;0;31;5427;31;America/Sao_Paulo
;2314102;Viçosa do Ceará;-35.667;-410.916;0;23;1583;88;America/Sao_Paulo
;4323200;Victor Graeff;-285.632;-527.495;0;43;8969;54;America/Sao_Paulo
;4219200;Vidal Ramos;-273.886;-493.593;0;42;8377;47;America/Sao_Paulo
;4219309;Videira;-270.086;-511.543;0;42;8379;49;America/Sao_Paulo
;3171402;Vieiras;-20.867;-422.401;0;31;5429;32;America/Sao_Paulo
;2517209;Vieirópolis;-650.684;-382.567;0;25;540;83;America/Sao_Paulo
;1508209;Vigia;-0.861194;-481.386;0;15;563;91;America/Sao_Paulo
;5105507;Vila Bela da Santíssima Trindade;-150.068;-599.504;0;51;9109;65;America/Porto_Velho
;5222203;Vila Boa;-150.387;-47.052;0;52;67;61;America/Sao_Paulo
;2415008;Vila Flor;-631.287;-35.067;0;24;1899;84;America/Sao_Paulo
;4323309;Vila Flores;-288.598;-515.504;0;43;7311;54;America/Sao_Paulo
;4323358;Vila Lângaro;-281.062;-521.438;0;43;1030;54;America/Sao_Paulo
;4323408;Vila Maria;-285.359;-521.486;0;43;7309;54;America/Sao_Paulo
;2211605;Vila Nova do Piauí;-713.272;-409.345;0;22;408;89;America/Sao_Paulo
;4323457;Vila Nova do Sul;-303.461;-53.876;0;43;5795;55;America/Sao_Paulo
;2112852;Vila Nova dos Martírios;-518.889;-481.336;0;21;264;99;America/Sao_Paulo
;3205150;Vila Pavão;-186.091;-40.609;0;32;2935;27;America/Sao_Paulo
;5222302;Vila Propício;-154.542;-488.819;0;52;1068;62;America/Sao_Paulo
;5108600;Vila Rica;-100.137;-511.186;0;51;9897;66;America/Porto_Velho
;3205176;Vila Valério;-189.958;-403.849;0;32;768;27;America/Sao_Paulo
;3205200;Vila Velha;-203.417;-402.875;0;32;5703;27;America/Sao_Paulo
;1100304;Vilhena;-127.502;-601.488;0;11;13;69;America/Porto_Velho
;3556701;Vinhedo;-230.302;-469.833;0;35;7237;19;America/Sao_Paulo
;3556800;Viradouro;-208.734;-48.293;0;35;7239;17;America/Sao_Paulo
;3171600;Virgem da Lapa;-16.807;-423.431;0;31;5433;33;America/Sao_Paulo
;3171709;Virgínia;-223.264;-450.965;0;31;5435;35;America/Sao_Paulo
;3171808;Virginópolis;-188.154;-427.015;0;31;5437;33;America/Sao_Paulo
;3171907;Virgolândia;-184.738;-423.067;0;31;5439;33;America/Sao_Paulo
;4128658;Virmond;-253.829;-521.987;0;41;5483;42;America/Sao_Paulo
;3172004;Visconde do Rio Branco;-210.127;-428.361;0;31;5441;32;America/Sao_Paulo
;1508308;Viseu;-119.124;-461.399;0;15;565;91;America/Sao_Paulo
;4323507;Vista Alegre;-273.686;-534.919;0;43;7307;55;America/Sao_Paulo
;3556909;Vista Alegre do Alto;-211.692;-486.284;0;35;7241;16;America/Sao_Paulo
;4323606;Vista Alegre do Prata;-288.052;-517.947;0;43;7305;54;America/Sao_Paulo
;4323705;Vista Gaúcha;-272.902;-536.974;0;43;7303;55;America/Sao_Paulo
;2505501;Vista Serrana;-67.303;-375.704;0;25;2011;83;America/Sao_Paulo
;4219358;Vitor Meireles;-268.782;-498.328;0;42;9977;47;America/Sao_Paulo
;3205309;Vitória;-203.155;-403.128;1;32;5705;27;America/Sao_Paulo
;3556958;Vitória Brasil;-201.956;-504.875;0;35;828;17;America/Sao_Paulo
;2933307;Vitória da Conquista;-148.615;-408.442;0;29;3965;77;America/Sao_Paulo
;4323754;Vitória das Missões;-283.516;-54.504;0;43;6053;55;America/Sao_Paulo
;2616407;Vitória de Santo Antão;-812.819;-352.976;0;26;2627;81;America/Sao_Paulo
;1600808;Vitória do Jari;-0.938;-52.424;0;16;70;96;America/Sao_Paulo
;2112902;Vitória do Mearim;-345.125;-448.643;0;21;951;98;America/Sao_Paulo
;1508357;Vitória do Xingu;-287.922;-520.088;0;15;641;93;America/Sao_Paulo
;4128708;Vitorino;-262.683;-527.843;0;41;7947;46;America/Sao_Paulo
;2113009;Vitorino Freire;-428.184;-452.505;0;21;953;98;America/Sao_Paulo
;3172103;Volta Grande;-217.671;-425.375;0;31;5443;32;America/Sao_Paulo
;3306305;Volta Redonda;-225.202;-440.996;0;33;5925;24;America/Sao_Paulo
;3557006;Votorantim;-235.446;-474.388;0;35;7243;15;America/Sao_Paulo
;3557105;Votuporanga;-204.237;-499.781;0;35;7245;17;America/Sao_Paulo
;2933406;Wagner;-122.819;-411.715;0;29;3967;75;America/Sao_Paulo
;2211704;Wall Ferraz;-723.151;-41.905;0;22;410;89;America/Sao_Paulo
;1722081;Wanderlândia;-685.274;-479.601;0;17;9665;63;America/Sao_Paulo
;2933455;Wanderley;-121.144;-438.958;0;29;3999;77;America/Sao_Paulo
;3172202;Wenceslau Braz;-225.368;-453.626;0;31;5421;35;America/Sao_Paulo
;4128500;Wenceslau Braz;-238.742;-498.032;0;41;7943;43;America/Sao_Paulo
;2933505;Wenceslau Guimarães;-136.908;-394.762;0;29;3969;73;America/Sao_Paulo
;4323770;Westfália;-294.263;-517.645;0;43;1176;51;America/Sao_Paulo
;4219408;Witmarsum;-269.275;-497.947;0;42;8381;47;America/Sao_Paulo
;1722107;Xambioá;-64.141;-48.532;0;17;9643;63;America/Sao_Paulo
;4128807;Xambrê;-237.364;-534.884;0;41;7949;44;America/Sao_Paulo
;4323804;Xangri-lá;-298.065;-500.519;0;43;5785;51;America/Sao_Paulo
;4219507;Xanxerê;-268.747;-524.036;0;42;8383;49;America/Sao_Paulo
;1200708;Xapuri;-106.516;-684.969;0;12;149;68;America/Rio_Branco
;4219606;Xavantina;-270.667;-52.343;0;42;8385;49;America/Sao_Paulo
;4219705;Xaxim;-269.596;-525.374;0;42;8387;49;America/Sao_Paulo
;2616506;Xexéu;-88.046;-356.212;0;26;2293;81;America/Sao_Paulo
;1508407;Xinguara;-70.983;-499.437;0;15;571;94;America/Sao_Paulo
;2933604;Xique-Xique;-10.823;-427.245;0;29;3971;74;America/Sao_Paulo
;2517407;Zabelê;-807.901;-371.057;0;25;542;83;America/Sao_Paulo
;3557154;Zacarias;-210.506;-500.552;0;35;2973;18;America/Sao_Paulo
;2114007;Zé Doca;-327.014;-456.553;0;21;1287;98;America/Sao_Paulo
;4219853;Zortéa;-274.521;-51.552;0;42;950;49;America/Sao_Paulo
